epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12052.1,0.35683,0.28875,0.84036,0.77488,0.68377,0.74375,0.54715,1.04808,0.9365,1.44243,0.00029705,0.00029705,0.00029705
43,12339,0.352,0.28631,0.83776,0.77906,0.68119,0.74373,0.54717,1.04864,0.94269,1.44608,0.0002921,0.0002921,0.0002921
44,12624.9,0.34568,0.28108,0.83498,0.77936,0.68437,0.74577,0.54747,1.05335,0.94044,1.45605,0.00028715,0.00028715,0.00028715
45,12911.9,0.337,0.2716,0.83015,0.77023,0.68528,0.74412,0.54661,1.0521,0.94364,1.45884,0.0002822,0.0002822,0.0002822
46,13199,0.33062,0.26852,0.82732,0.76714,0.69085,0.744,0.54743,1.04715,0.94572,1.45773,0.00027725,0.00027725,0.00027725
47,13484.6,0.32339,0.26154,0.82371,0.78092,0.68315,0.74395,0.54775,1.04354,0.94825,1.4582,0.0002723,0.0002723,0.0002723
48,13770.5,0.31837,0.25788,0.82164,0.78761,0.6762,0.74335,0.5475,1.04311,0.94857,1.46136,0.00026735,0.00026735,0.00026735
49,14056.9,0.31188,0.25444,0.81886,0.78108,0.68523,0.74442,0.54837,1.04317,0.94874,1.46191,0.0002624,0.0002624,0.0002624
50,14344.2,0.30852,0.25111,0.81676,0.76404,0.69355,0.74249,0.54893,1.04326,0.95136,1.46523,0.00025745,0.00025745,0.00025745
51,14631.1,0.30139,0.2455,0.81355,0.77385,0.6871,0.74326,0.54824,1.0448,0.95269,1.47047,0.0002525,0.0002525,0.0002525
